NoOfEvals,RexJggKTabletP7K5_0,RexJggKTabletP7K5_1,RexJggKTabletP7K5_2
0,598481.6908553543,660209.5722810115,664470.1351226318
100,207628.13982996685,373264.641232348,357222.06417642493
1100,90399.30146805993,154910.30401691623,127894.73117704305
2100,41975.14354553586,51607.24419348301,47303.1619330194
3100,15205.607150526981,16976.052406173163,13099.30268244925
4100,9405.01140166942,6633.41949086682,6539.605281355844
5100,3069.7099819812083,1875.8101543524315,3298.790913924442
6100,990.6906391927856,927.9861438672726,1261.2338110347634
7100,335.44642080806886,424.49248402876304,395.0986079409751
8100,161.1637149331895,105.184446692648,236.84498069121858
9100,60.69283339247185,56.910712982937504,91.72258371604248
10100,38.07124114685986,30.23393774693753,37.08193779955135
11100,13.013019340420374,14.304241181248322,21.758527040817462
12100,5.0528835036622395,9.220209474781091,8.414946380389624
13100,3.5021761217803675,4.28311246786843,3.4067172114181616
14100,1.5929665585810147,2.297294278660391,2.4248303800907696
15100,1.4691426624087307,1.5272017444933226,1.6644586888756852
16100,1.1665478075170785,1.0407755529153047,1.371092428305729
17100,0.9720616063266334,0.7181727281307988,1.2220060643425414
18100,0.9447541148691566,0.5357086871711386,1.0912918402555762
19100,0.8601816116568356,0.4674471913611841,0.9424503911921451
20100,0.7838254784443033,0.39106648547384765,0.7786375316114965
21100,0.7571618366142884,0.30968992495731873,0.5986700099077513
22100,0.6977239545759891,0.2656288924818591,0.4313980331878858
23100,0.6388632968838861,0.22225763072515792,0.34860532718114084
24100,0.6115225599576519,0.19144310177104423,0.30878658853023744
25100,0.5800272620736315,0.17605609554890608,0.24261997595904133
26100,0.5547609761909988,0.1625504225934833,0.2192522496929055
27100,0.5253732047597072,0.1509644026588157,0.19557265288797326
28100,0.4924326378648516,0.14009173852811352,0.17290665455373574
29100,0.471093820312175,0.1297489687693991,0.15130849569098365
30100,0.44099079700184335,0.12420569750118264,0.13284219069638573
31100,0.41188897374387756,0.1219431471524151,0.12101789017884819
32100,0.3975410359148165,0.11589479092066368,0.11158939360653902
33100,0.3897396989524762,0.11043488843511409,0.10584863314261181
34100,0.3813414436468919,0.10593201797486627,0.09930254191066717
35100,0.36798150351431314,0.10250079232267748,0.09651035287545631
36100,0.36206151984686685,0.1014072574007637,0.08996393016752094
37100,0.3550951402273513,0.0971538102221214,0.08614111511945007
38100,0.34992974362477663,0.09526866527230342,0.08442278898497309
39100,0.3435073273749465,0.0931321507928067,0.08219313354550083
40100,0.3393859457437778,0.0903113073861894,0.08000262194405214
41100,0.33565839369150813,0.08898798004242309,0.07819038586309329
42100,0.32898848899831695,0.0874355541720316,0.07600057978645251
43100,0.3236180635106765,0.08631656946383716,0.07465183738842668
44100,0.31855550832743484,0.08480475516973124,0.07325531957970455
45100,0.3135998501812767,0.08366096408421067,0.0718191387899135
46100,0.30812327301809533,0.08287539598350736,0.07008550704977029
47100,0.3036692246788806,0.08237036767025785,0.06877956920236623
48100,0.3003519872993391,0.08160776372989316,0.06689035623541462
49100,0.2957425322797721,0.08097756413126744,0.06546880818870271
50100,0.29303715411141756,0.07996888515313365,0.06333489887749749
51100,0.2915705689670215,0.0791856899473313,0.06245745474863917
52100,0.2891741318803926,0.07856017639358129,0.06145503852221694
53100,0.28807197655877326,0.0776984432290539,0.059860114159822356
54100,0.2860974619317683,0.07734427604968616,0.05895626459446686
55100,0.28409426008346694,0.07681954236011036,0.05843495553536917
56100,0.2834641113435509,0.07649648001093785,0.05795588421298958
57100,0.28135313126632483,0.07560148668651176,0.05746284103487348
58100,0.27887160781442244,0.07484473786895898,0.05706813934992955
59100,0.27784394633221193,0.07421616024856129,0.05673771548085862
60100,0.27527138658420036,0.07333082945253827,0.05643293095511733
61100,0.2740700077449676,0.07308897864698408,0.05606200545783333
62100,0.2719596398206253,0.07190057495800957,0.05583745849623635
63100,0.26974339111891904,0.07086642314538216,0.05569159919672358
64100,0.26899822918530003,0.06936390503030025,0.05554107157560105
65100,0.26785106920302715,0.06901920413527289,0.055354173848954503
66100,0.2668225200414991,0.06794894931389833,0.05517225181555652
67100,0.26602362584851863,0.06742135397758209,0.05494054451283079
68100,0.2649668380666301,0.06721034071623026,0.05465139921883661
69100,0.2644137542942056,0.0668654998934895,0.05455430583044919
70100,0.26380450629342383,0.06656623157568248,0.054459745909933965
71100,0.26243805508154516,0.0663141877163716,0.05437145636158522
72100,0.2608384203082818,0.06609997045968516,0.0543180347125453
73100,0.2583770089149436,0.06593369740419311,0.05423571903870812
74100,0.2576365088441202,0.06571018642392654,0.05414287938805835
75100,0.25573889731892946,0.06555250945974618,0.05402578558326804
76100,0.2545954456182503,0.06531292317153081,0.053911028410367254
77100,0.2536550450368923,0.06517108611730131,0.05385125960101429
78100,0.2522509757881103,0.0650227170771844,0.05375352530655556
79100,0.25052293783273055,0.06493708317359884,0.05367405668944645
80100,0.24770250249510312,0.06481887996889339,0.05352823311862127
81100,0.24712971247288137,0.06474224923127271,0.05341742581167353
82100,0.24603872811481373,0.06463176637905409,0.05331667134995385
83100,0.24410587213004895,0.06456506143885708,0.05327755149135365
84100,0.23950212621551148,0.06444940843956473,0.053234059025166355
85100,0.2348334487997987,0.06434924055681139,0.05319781632409338
86100,0.23287735321075081,0.06427426339164337,0.05317690387068383
87100,0.23257420664342138,0.06424155624357589,0.0531548134582973
88100,0.23234312503054322,0.0642028016469168,0.05313679480629204
89100,0.2320735269561851,0.06416920390592147,0.05312024316586059
90100,0.23180067285169326,0.064122457733441,0.053096363521047324
91100,0.23142255302566714,0.06406378958256266,0.05307955075655435
92100,0.23109062450661097,0.06402619306434303,0.053060329362741146
93100,0.23079873645115184,0.0639855805456437,0.05303877500077005
94100,0.23043728825278448,0.06394039342592052,0.05302525900795252
95100,0.23022240006759725,0.0639017732669575,0.0530082539847411
96100,0.23002804652678008,0.0638778294199509,0.05299363153924583
97100,0.22991313837768762,0.06386001908063992,0.05298535365597353
98100,0.22960966812280859,0.06383571627063074,0.05297351718002342
99100,0.22958331041314053,0.06380936902400856,0.052963360421497956
100100,0.22950338616797197,0.06376589408751389,0.05295457392999112
101100,0.22942160005255985,0.06375930329781708,0.052945135375845026
102100,0.22936464873980011,0.06374420597422913,0.052943274250846904
103100,0.22924349122693916,0.06372762939692637,0.052938058687842654
104100,0.22914364606853757,0.06371361761288628,0.05293489086947665
105100,0.22903256382379547,0.06369770184207983,0.052930160594779445
106100,0.2289203644521316,0.06367743232934503,0.05292733210634767
107100,0.22881714233564138,0.06364629481302671,0.05292445447737501
108100,0.22873412352801809,0.06362720469530293,0.05292159201002481
109100,0.22869286840505604,0.06361910567699497,0.05291700968057407
110100,0.22865334396178294,0.06361267834483929,0.05291194555672324
111100,0.22862682443671978,0.06360286738017402,0.05290677256296555
112100,0.2286117252674555,0.06359149990510993,0.05290287899251804
113100,0.2285944099878786,0.06357455351794117,0.05289956668232583
114100,0.22857472426252173,0.06355941696315981,0.052898433043797675
115100,0.22855400977781212,0.06354691185137794,0.05289657612188863
116100,0.2285334895381446,0.06354294227470916,0.05289489137731985
117100,0.22850727089527031,0.06353559198454722,0.05289220208573572
118100,0.22849332110083498,0.06352839221573904,0.052889602443509716
119100,0.228478659255369,0.06352270333111423,0.05288736764492008
120100,0.22845617397862747,0.06351465070241828,0.05288529816040558
121100,0.22843394957142446,0.06350900936095016,0.052882915563485615
122100,0.2284118643114713,0.06350330946008119,0.0528813789882729
123100,0.22838250668072713,0.06349562884139305,0.05287980885821404
124100,0.22837117877074414,0.0634890085945984,0.05287803249736523
125100,0.2283540330652689,0.06347900263678351,0.05287621921218175
126100,0.22833664985394986,0.06347321731516085,0.05287438969220148
127100,0.2283245053002094,0.06347011836905893,0.05287115537759557
128100,0.22830827524628614,0.06346201431603388,0.05286826487412934
129100,0.22829822279146553,0.06345598844516787,0.05286631764653857
130100,0.22828498758426774,0.06344611801817225,0.05286400710604834
131100,0.2282691275425282,0.06343268058782378,0.05286194993906879
