NoOfEvals,output/report02/RexJggKTabletP14K15_0,output/report02/RexJggKTabletP14K15_1,output/report02/RexJggKTabletP14K15_2
0,526715.0500469279,573062.256344434,565762.2680126479
300,262456.73219820624,251377.4101521008,303106.838089265
3300,130032.23485188361,126265.6021530573,67442.0006097924
6300,45105.40755868044,44080.33691444664,56964.913121294834
9300,29154.638587824742,17461.624453979915,25038.868714854158
12300,24294.340406811807,15446.949678898352,20167.86698045658
15300,8995.768571768427,10399.346289166799,10535.894694915156
18300,5255.375402690638,5232.59488623506,5131.787659876446
21300,2924.3197739542475,2915.0818433926574,3188.1279613992383
24300,950.5428010490498,1054.5858231298507,1299.522285380129
27300,789.0949404359408,762.2565283976209,699.8580905791132
30300,564.310053869203,449.84888818566304,375.5766240233124
33300,173.48162925100652,185.42159626145883,155.03294871645227
36300,79.9014488654208,152.97778827239517,150.2744477014077
39300,65.15022214398161,59.40152240476532,59.9510888719831
42300,21.54534422863532,28.990092553055447,46.373144527093885
45300,13.379322638869592,19.397857873741735,23.750390756684624
48300,6.809032220924778,8.404889314006981,11.937708223672766
51300,5.714343632191864,5.388918826492877,5.101996069392999
54300,3.2643950789095633,3.6133679117065216,4.116465316636479
57300,2.399447902020804,2.2647849910613878,2.188370490468779
60300,1.3704300525193152,2.153022539158723,1.193837480222131
63300,1.0167115119109296,1.7038139368334329,0.9355766944974703
66300,0.7265547420042512,1.3945819788622535,0.6215622312936516
69300,0.5672428763173768,1.0434095672611772,0.46631416040924123
72300,0.4143844799021982,0.9924299222782608,0.34885016218292614
75300,0.28196486028766743,0.6261386190207203,0.32095907551115543
78300,0.1931702137560085,0.4475398451086667,0.21972817664157512
81300,0.10943793369173056,0.20397206851899397,0.15722663141021792
84300,0.05472915451248899,0.12070246585740219,0.10241977194734597
87300,0.037273597661174086,0.10667193014031356,0.07733889768111195
90300,0.027140187385134348,0.05400914334519545,0.05610446101814572
93300,0.015344618375302899,0.05400914334519545,0.03867164846792664
96300,0.009592939985301122,0.03932975897982104,0.02611921694562497
99300,0.0031782294649746177,0.025986294124242536,0.013378537986274381
102300,0.0021645614445529116,0.016285073346361416,0.00852811972468287
105300,0.0013020975236350978,0.009405509566831435,0.004890168246104313
108300,9.886645056400882E-4,0.006356503817321703,0.002483113884951381
111300,5.257275016251416E-4,0.004687089912019722,0.0017223382272869518
114300,1.8103913498347004E-4,0.0019487820779692095,7.144516092212304E-4
117300,1.5080191600112884E-4,0.0010449226831876573,5.000255072776924E-4
120300,5.835208695620733E-5,4.760720286596452E-4,2.583442571154522E-4
123300,3.800187928869357E-5,3.0994913810535133E-4,1.541518959808103E-4
126300,2.8656847894919167E-5,1.3153558409642998E-4,8.762646158727015E-5
129300,1.4191108244728046E-5,1.1064291202692927E-4,4.187747183236695E-5
132300,7.773454509883423E-6,6.5580547597395E-5,2.140487231577696E-5
135300,4.139370651358361E-6,3.617280876156946E-5,1.501317983427261E-5
138300,3.5712348834437608E-6,1.73985923718528E-5,1.1001697077082875E-5
141300,1.3481528612146416E-6,1.0302822186449154E-5,3.3155765173972817E-6
144300,8.019578441513738E-7,5.985344100103074E-6,2.7744606761665457E-6
147300,5.488959303773657E-7,3.912221358066883E-6,1.7783169032559886E-6
150300,1.9283689467178544E-7,1.49230564517866E-6,1.037423932340401E-6
153300,1.832321698133475E-7,9.907380473905073E-7,5.554369847274618E-7
156300,9.38197594484334E-8,7.437093219568004E-7,3.0711428033590517E-7
159300,,3.5605473369015957E-7,1.3692520533430743E-7
160800,,1.623643407153993E-7,9.556287825627489E-8
165300,,6.66965535330962E-8,
165300,,6.66965535330962E-8,
