NoOfEvals,RexJggKTabletP14K5_0,RexJggKTabletP14K5_1,RexJggKTabletP14K5_2
0,501536.5708558941,436272.6089224913,588988.7961137575
100,130706.80940436573,340978.35172481334,273610.36765116785
1100,134279.37067018368,144163.63431144116,171889.2032835452
2100,103706.9881951322,104334.88081785374,98150.32295805504
3100,32377.9915073632,66040.42323316177,71970.47982046044
4100,32377.9915073632,31480.478460860217,34270.38316480042
5100,21239.249330407503,35446.13904228818,18423.343859359615
6100,15167.324551315492,8782.294684788121,11527.403193892966
7100,9576.996522755944,8528.714778808042,9526.13250141676
8100,6887.837263621499,6993.71649901705,4952.147434468849
9100,3707.5798412708505,3188.3321320410746,2782.708854714131
10100,2698.367555939372,1733.736019944693,2450.9347267191847
11100,703.7191044967401,1733.736019944693,2057.10437456244
12100,609.2597079494242,1474.791718905956,734.2479039102018
13100,214.98031892694246,503.31106217208446,590.9579862538359
14100,214.98031892694246,276.7155891545287,390.899110848891
15100,146.12559954405293,363.29595581406625,291.4097667000276
16100,146.12559954405293,135.90153867422734,110.4309579839087
17100,102.34084593077849,113.59327093336991,87.8182841496417
18100,55.683441859796254,87.4740798630737,69.35822350418343
19100,47.723025163558944,49.324194572704705,39.94397012237867
20100,11.475731288015306,26.572713234402613,28.70827779041533
21100,18.420937800957688,19.7710785834788,16.94934328970638
22100,8.672143955264488,7.921491366744641,8.18362614371383
23100,6.360973061971702,12.40647368931725,9.455768547190134
24100,4.556929004727233,5.564867294932662,6.437758930075741
25100,4.775535865726546,2.989019004971557,4.674415495513079
26100,2.5726994883659007,2.4510699766161546,3.1520044019579627
27100,1.7306439797166195,1.553644336280418,2.4588699805883043
28100,1.457881061513733,1.4972219255824433,2.091393492392312
29100,1.1516396315537183,0.8893105764832357,1.7871434229875272
30100,0.9679010613758687,0.820072780244715,1.4365261254809607
31100,0.7470562706498842,0.5617943980998599,1.352421209361983
32100,0.7235286355358904,0.5438589767629326,1.2022053620994764
33100,0.6041464295981854,0.390446404351986,0.9960779809831798
34100,0.5303827029922978,0.3277698834615915,0.9721170119564646
35100,0.4194811128443453,0.2597857437248262,0.8437404134737083
36100,0.38908754453802713,0.24166200541962998,0.7495214367036853
37100,0.31758003002926294,0.17825795879076914,0.648712657440085
38100,0.22459358769248308,0.1417073049198617,0.6253066569997755
39100,0.1763268661188897,0.05948507429164128,0.5510111469688369
40100,0.13697780751670663,0.053085629198948776,0.46221469873459686
41100,0.11798979876411979,0.044267589670701386,0.43550028202645
42100,0.094819940367302,0.02330713731473992,0.3854937374311381
43100,0.06711383439785878,0.02330713731473992,0.33709401980328796
44100,0.056876855316480755,0.016498943563357054,0.29856178319682386
45100,0.039420043233583474,0.012242688708204785,0.2811703898079084
46100,0.027829596351420054,0.010474311433187182,0.24697322505223612
47100,0.0236108852309876,0.007738901932631692,0.21153135909769652
48100,0.01739555217132533,0.005455129706059306,0.18825188099839138
49100,0.010485317411389958,0.0035795426337055375,0.15252598749906027
50100,0.005126180793537796,0.00315039588208407,0.12371730177440694
51100,0.004903476006972213,0.0021720644020996245,0.10218139833187218
52100,0.002918721789882074,0.0011966554111027866,0.10046306519374494
53100,0.002511944288647211,0.001147517254089416,0.08342203191952362
54100,0.0016921818337049853,8.988119552302985E-4,0.06885460509269486
55100,8.424836659572622E-4,4.8496397718566424E-4,0.05879315944677155
56100,5.808803919037334E-4,4.326344961694385E-4,0.05384545927101724
57100,3.974903141829373E-4,2.396763213556523E-4,0.03730465306130418
58100,3.526127074753623E-4,1.946578194072427E-4,0.03458473055852025
59100,2.5159229358243053E-4,9.363470131446957E-5,0.027252883365064717
60100,1.4004812893067818E-4,8.658890391908795E-5,0.02152113117553584
61100,9.412029775661879E-5,5.3261323420908785E-5,0.01792649152730346
62100,9.02793622694303E-5,2.2804327364312308E-5,0.014852095100174345
63100,4.3501451531441234E-5,2.2636449595185816E-5,0.013188564471953119
64100,3.750336686268079E-5,9.344530062888377E-6,0.012498037024907722
65100,1.9213916549614234E-5,6.597976912839674E-6,0.010483762088447968
66100,1.43548330487316E-5,5.417733484490749E-6,0.008331014242687873
67100,1.037152540305114E-5,4.587543549368875E-6,0.0073419228097128825
68100,7.448120758370601E-6,4.227912884830193E-6,0.006696042292276333
69100,4.466226596582001E-6,1.7139116232570998E-6,0.0057020828962033015
70100,2.2709768579754124E-6,1.5012696653532916E-6,0.005244630374236847
71100,2.0798747914210752E-6,8.747828177288108E-7,0.004684233733910035
72100,1.0666208980337222E-6,6.425580934875861E-7,0.004170284528593404
73100,9.829453151135978E-7,3.734005747103087E-7,0.0036884472271352135
74100,6.178195267384564E-7,2.291410049578376E-7,0.0032317802947813648
75100,2.76790348207134E-7,1.4984633198700558E-7,0.0025783436777904465
76100,2.76790348207134E-7,1.1394938971941434E-7,0.0020006715353810046
77100,1.8645685892977285E-7,7.30860616564483E-8,0.0018138026478542904
78100,1.3795305882970794E-7,7.30860616564483E-8,0.00149116846475309
79100,9.863650980449852E-8,,0.0012898702079046438
80100,,,0.0011006935955817229
81100,,,9.339487920090768E-4
82100,,,8.187972701257228E-4
83100,,,6.715423283324271E-4
84100,,,4.935196213385971E-4
85100,,,4.0221922322346087E-4
86100,,,3.934970879507086E-4
87100,,,3.5120621260062017E-4
88100,,,2.7781503253739703E-4
89100,,,2.0321303648876944E-4
90100,,,1.9914339158098567E-4
91100,,,1.50086836268973E-4
92100,,,1.291260246262395E-4
93100,,,1.060697601519885E-4
94100,,,8.303297909702153E-5
95100,,,7.184606018360917E-5
96100,,,6.411908739625865E-5
97100,,,5.223530635543461E-5
98100,,,4.832502075408695E-5
99100,,,4.148067613591559E-5
100100,,,3.671444208673054E-5
101100,,,2.660743934239372E-5
102100,,,2.4877434581181553E-5
103100,,,1.9544061003254407E-5
104100,,,1.6817477810267367E-5
105100,,,1.3253863564839282E-5
106100,,,1.0538308200201998E-5
107100,,,9.517497861809403E-6
108100,,,7.1863055537086975E-6
109100,,,5.1893499155120995E-6
110100,,,3.971533183575748E-6
111100,,,3.2830068223792176E-6
112100,,,2.8180655210839443E-6
113100,,,2.0533311095028826E-6
114100,,,1.819427681349643E-6
115100,,,1.5407673377457697E-6
116100,,,1.1199512905735031E-6
117100,,,8.314011638649085E-7
118100,,,6.934858515624928E-7
119100,,,6.016359362152602E-7
120100,,,4.597126369686355E-7
121100,,,3.78199716549859E-7
122100,,,3.143510973977585E-7
123100,,,2.266967617091626E-7
124100,,,1.4570617970861573E-7
125100,,,1.328255878714613E-7
126100,,,9.873109849435184E-8
126100,,,9.873109849435184E-8
