NoOfEvals,UndxMggKTabletP14K5_0,UndxMggKTabletP14K5_1,UndxMggKTabletP14K5_2
0,526774.339419097,584293.2984608009,504350.6372228638
100,494969.65989355923,438063.2531478296,395744.818064161
1100,287285.8322241441,314809.21260713827,263781.3402361941
2100,199852.76208707446,233216.1182829197,177675.4568590738
3100,199852.76208707446,233216.1182829197,132362.11584545605
4100,199852.76208707446,164285.11954286406,132362.11584545605
5100,184361.45683407894,162460.7482305647,132362.11584545605
6100,181210.53127144268,133793.03834085548,94968.06658232881
7100,178679.73985115613,124466.59009418014,94968.06658232881
8100,154814.3036351839,55238.59732061382,94968.06658232881
9100,154814.3036351839,55238.59732061382,94968.06658232881
10100,98901.47260212421,55238.59732061382,94968.06658232881
11100,68515.86797376652,55238.59732061382,94968.06658232881
12100,68515.86797376652,55238.59732061382,94968.06658232881
13100,68515.86797376652,55238.59732061382,94968.06658232881
14100,68515.86797376652,55238.59732061382,94968.06658232881
15100,42240.944711697826,55238.59732061382,94968.06658232881
16100,42240.944711697826,55238.59732061382,94968.06658232881
17100,42240.944711697826,55238.59732061382,94968.06658232881
18100,42240.944711697826,55238.59732061382,79623.2867958706
19100,42240.944711697826,55238.59732061382,72045.24872388768
20100,42240.944711697826,55238.59732061382,72045.24872388768
21100,42240.944711697826,34473.64307272453,60398.2499478848
22100,42240.944711697826,34473.64307272453,51737.82517624735
23100,42240.944711697826,34473.64307272453,47672.62032979014
24100,42240.944711697826,34473.64307272453,38314.67461587341
25100,42240.944711697826,34473.64307272453,38314.67461587341
26100,42240.944711697826,34473.64307272453,38314.67461587341
27100,42240.944711697826,34473.64307272453,38314.67461587341
28100,42240.944711697826,34473.64307272453,38314.67461587341
29100,42240.944711697826,34473.64307272453,38314.67461587341
30100,40218.20707839074,34473.64307272453,36243.469615914655
31100,40218.20707839074,30057.036262049412,34177.103451456765
32100,34153.31186355365,30057.036262049412,34177.103451456765
33100,34153.31186355365,30057.036262049412,34177.103451456765
34100,32644.01940273768,30057.036262049412,32679.691372066525
35100,23697.938871830574,30057.036262049412,32679.691372066525
36100,23697.938871830574,30057.036262049412,32679.691372066525
37100,16779.059490708692,30057.036262049412,32679.691372066525
38100,16779.059490708692,16834.662328525377,28602.777417008463
39100,16779.059490708692,15954.767434109399,27600.952977666704
40100,16779.059490708692,15954.767434109399,27600.952977666704
41100,15848.292381113504,15954.767434109399,25256.40411536356
42100,15848.292381113504,15954.767434109399,22100.961859069514
43100,15848.292381113504,15954.767434109399,22100.961859069514
44100,15848.292381113504,15954.767434109399,22100.961859069514
45100,15848.292381113504,15954.767434109399,22100.961859069514
46100,15848.292381113504,15954.767434109399,14474.53736784196
47100,12210.386168203266,15954.767434109399,14474.53736784196
48100,12210.386168203266,15954.767434109399,14474.53736784196
49100,12210.386168203266,15954.767434109399,13878.873954756178
50100,12210.386168203266,15954.767434109399,13878.873954756178
51100,12210.386168203266,15954.767434109399,13878.873954756178
52100,12210.386168203266,15954.767434109399,13878.873954756178
53100,12210.386168203266,15954.767434109399,13878.873954756178
54100,12210.386168203266,15620.663781408062,13878.873954756178
55100,12210.386168203266,15620.663781408062,13878.873954756178
56100,12210.386168203266,15620.663781408062,13878.873954756178
57100,11347.413116523643,15596.603292778935,8897.224996731351
58100,11347.413116523643,15596.603292778935,8897.224996731351
59100,10196.350712348461,15596.603292778935,7727.2049726275045
60100,10196.350712348461,15596.603292778935,7727.2049726275045
61100,10196.350712348461,9827.381026395933,7727.2049726275045
62100,10196.350712348461,9827.381026395933,7727.2049726275045
63100,10196.350712348461,9827.381026395933,7727.2049726275045
64100,10196.350712348461,9527.582191565396,7727.2049726275045
65100,10196.350712348461,9527.582191565396,7727.2049726275045
66100,4966.207622986224,9527.582191565396,7727.2049726275045
67100,4966.207622986224,7475.583236481035,7727.2049726275045
68100,4966.207622986224,7475.583236481035,7727.2049726275045
69100,4966.207622986224,7475.583236481035,7727.2049726275045
70100,4966.207622986224,7475.583236481035,7727.2049726275045
71100,4966.207622986224,7475.583236481035,7727.2049726275045
72100,4966.207622986224,5477.553407062154,4940.641588356229
73100,4966.207622986224,5477.553407062154,4940.641588356229
74100,2839.610240553352,5477.553407062154,4940.641588356229
75100,2839.610240553352,5477.553407062154,4940.641588356229
76100,2839.610240553352,5477.553407062154,4940.641588356229
77100,2839.610240553352,5477.553407062154,4940.641588356229
78100,2839.610240553352,5477.553407062154,4940.641588356229
79100,2839.610240553352,5477.553407062154,4080.9410718213257
80100,2839.610240553352,5477.553407062154,4080.9410718213257
81100,2839.610240553352,5477.553407062154,4080.9410718213257
82100,2839.610240553352,5477.553407062154,4080.9410718213257
83100,2839.610240553352,5404.2491154297,4080.9410718213257
