NoOfEvals,ArexJggOffsetKTabletP14K5_0,ArexJggOffsetKTabletP14K5_1,ArexJggOffsetKTabletP14K5_2
0,783037.978737313,978246.0704795023,725247.3507007622
100,783037.978737313,978246.0704795023,725247.3507007622
1100,218135.5662988241,163540.0737774418,295625.8184787499
2100,70489.50785322003,148347.65247592123,96596.27403139138
3100,29713.904113884768,72531.07656928996,63801.64183467867
4100,29713.904113884768,44604.12694884045,63801.64183467867
5100,32956.9920961247,33658.09444958012,31922.704171145684
6100,32867.91819962964,28859.778112418597,23180.35517996056
7100,19233.154785813746,17805.523455070033,22790.693170368366
8100,12627.168297669827,9579.176601042464,21976.33302167799
9100,9226.72965628336,8127.123619447767,19160.937803238503
10100,5004.292861159309,5255.241723224435,6397.69029317719
11100,2879.5303834859915,1882.6249601748034,6967.9886563522305
12100,2879.5303834859915,1953.3481714541808,4734.820178832678
13100,2108.7577852544355,1796.1842239320379,3297.4634007008963
14100,1057.0022105025716,1396.483912374913,2374.0095276535963
15100,825.6058815965156,1004.3063732951366,1543.3577583889776
16100,664.5366417792136,434.4133322427238,1418.1009171663577
17100,369.50930090174893,311.0738230093248,1045.5901805432363
18100,267.4518910960099,156.84457476708798,592.6734890673309
19100,258.98275507064403,127.05755953541194,326.4892842412092
20100,196.13265995271675,105.47319489134094,326.4892842412092
21100,122.72260819754042,90.1536312705717,234.86633378478984
22100,98.42872385626949,63.6260947536476,115.92666042752018
23100,95.58236611288189,43.75839099723555,145.2071291850903
24100,71.32390525929789,42.001239283143505,90.87504438782067
25100,65.63456343036857,39.20532850291214,67.75171532294303
26100,58.208428491346254,32.95779179447759,61.46966822162446
27100,53.809662163270495,29.75064741182061,56.433944371288604
28100,50.36539926732382,29.33807489638493,52.0841967478457
29100,45.51288438253244,26.102453307711503,45.36381455932428
30100,36.78845547219174,25.098120526904758,39.31023162865167
31100,25.175447467032885,22.386836508680567,26.113599225580625
32100,17.836008497523245,19.768561602385148,18.38194993592555
33100,14.057937176077525,14.776379540285824,11.476609232704142
34100,11.963172842693414,13.022652709756928,8.172178526102064
35100,9.572439581312874,7.7535264080370245,7.3292699415232105
36100,8.611107950814038,5.13126087237115,5.446173958740792
37100,5.345025501224012,3.9032308128653144,4.1995743888248676
38100,4.041466992378663,2.507849337233243,2.790651803866466
39100,2.3472956119157318,2.321525677520176,3.08584498923424
40100,1.696526040086876,1.6522440674899566,1.8502707675362162
41100,1.696526040086876,1.4565317562147815,1.9272768173370858
42100,1.2215753642704594,1.4565317562147815,1.076887873863654
43100,1.1541072120823055,1.4565317562147815,1.2129385878062764
44100,0.5423481589862861,1.0005283437233436,0.9677742706468093
45100,0.7923963305463929,1.0005283437233436,0.3705236605606198
46100,0.6452489056975749,1.0822111130961143,0.32953392537948945
47100,0.47852634312604614,1.0822111130961143,0.2836659489305032
48100,0.4806821372043992,0.6291111429600565,0.1688200881684501
49100,0.28457350558305416,0.5448210688445888,0.1688200881684501
50100,0.21875096001485597,0.31025302859207365,0.0985916695207351
51100,0.19799668563863443,0.31025302859207365,0.06225480882957323
52100,0.15393327908565083,0.35869353812130134,0.06225480882957323
53100,0.14772002482845525,0.25159856353651333,0.06103650921165725
54100,0.07914944864616605,0.1921600803190748,0.03828530538021538
55100,0.06676933420426044,0.1640939013815279,0.025114686916203388
56100,0.04729787240734644,0.09450921159438228,0.020284393873847815
57100,0.02842754908076596,0.09450921159438228,0.014325236747844737
58100,0.02840662671480665,0.050697183191496485,0.008408958914904388
59100,0.012281000084254463,0.04319494985736401,0.007695888573840245
60100,0.013331563309958919,0.016725288580214607,0.003714399288700562
61100,0.007680570219066659,0.014745478079300538,0.0025905868498999032
62100,0.0056933251161204994,0.013047730357567849,0.0019021937294644064
63100,0.004622490041157223,0.009299129916959548,0.0013810886727682577
64100,0.002809001635705765,0.007084345872672487,0.0011045876120990184
65100,0.0019183925550976368,0.0021677885922377644,5.024216880289846E-4
66100,0.001213912099203932,0.0021677885922377644,4.0836030756125194E-4
67100,0.001069702280967355,0.001299673663133458,1.4084378844265067E-4
68100,4.876533862091475E-4,0.0012502820020065266,1.0542569900148148E-4
69100,3.836444316668789E-4,8.976820717847555E-4,8.041266151780455E-5
70100,3.430062527200535E-4,4.8001173797256844E-4,5.099736499033659E-5
71100,1.7818225263109867E-4,4.8001173797256844E-4,4.7780873048892695E-5
72100,1.5342127786823972E-4,2.9845668443900943E-4,3.277876163565249E-5
