NoOfEvals,RexJggOffsetKTabletP14K5_0,RexJggOffsetKTabletP14K5_1,RexJggOffsetKTabletP14K5_2
0,854827.4038723592,701523.5374291914,874701.5406718564
100,854827.4038723592,701523.5374291914,874701.5406718564
1100,492003.7870857383,584731.9813483877,605184.8380103763
2100,229697.55481011793,257232.25905890844,424981.5053901989
3100,97053.12806537842,126460.74714662677,190940.0001140654
4100,64117.087902511084,83835.18151475133,135532.41969873378
5100,46541.95699141759,49377.525421118204,81993.18768596106
6100,22739.365707135712,26254.212162336346,52827.419900659545
7100,15704.104386167934,23184.429285652495,32389.601536615108
8100,12148.76045822186,14495.02759842746,27445.895024108973
9100,8604.10115122281,6202.1995868969825,15032.190568398275
10100,5538.166398398793,4834.036347384538,8980.288595177171
11100,2152.410923479151,2401.247615970377,5205.432603739013
12100,1710.2388646471409,2069.1196683110147,3006.3684301626186
13100,1626.222844842103,1868.1413360595914,1459.6840025745023
14100,774.4313202390786,553.7081849981446,1769.0149268207708
15100,591.553355505439,553.7081849981446,1006.760924104935
16100,345.1149090173579,277.24898037354865,730.4717492187727
17100,256.9269663519919,227.46502603063666,550.6631989025392
18100,157.80053238433146,147.90154157460384,364.42775601180614
19100,135.60856634276553,133.12020716390367,298.95075477901474
20100,125.9117024314463,123.72549916740962,258.98883533855974
21100,120.26358742498962,88.56178664459759,194.2457762528034
22100,100.91151574234485,70.39416886459121,164.75929620780448
23100,92.21961999870554,65.90198358773476,164.75929620780448
24100,80.89114353389843,56.309081030435244,153.11119840811367
25100,79.40006831548199,49.485635366282295,146.87182916930684
26100,74.1259862835749,47.29853933020825,141.35541209987534
27100,72.72148158065364,40.50935840178522,134.5407284254012
28100,71.16610418205045,41.95725367948733,131.65887770772935
29100,67.74903967692892,40.48863596919618,125.06585850083235
30100,66.79008844949539,39.59732691836994,120.0959927243837
31100,65.76159731655946,38.647488509624615,113.42127139249297
32100,63.66779995187809,37.48639794220255,105.63877920789533
33100,59.802780204367956,36.199854991509085,97.16026767614245
34100,58.02305907804611,34.30115711722327,89.00683746312487
35100,54.84697977421911,32.695565311385565,78.16471950454849
36100,50.20341548903689,30.875037980926944,69.04238687767021
37100,46.385641938330416,29.0477427602194,61.460917706672205
38100,42.659899190379356,28.083131809722886,58.52369743165225
39100,39.92689917671107,26.61158807083465,53.953079963641166
40100,37.45046109829988,24.829057037420892,43.15845751938922
41100,32.832913510081944,23.445056573588502,39.790599749217954
42100,32.48004798336997,22.058059108736526,35.82781035512382
43100,30.659406823464415,19.826993457079453,35.08730049301758
44100,28.671306708896342,18.22775551461591,31.69144176450162
45100,26.26117238602433,16.94534733209243,28.805293227791502
46100,24.039716133466687,15.845309485577959,27.188933270855056
47100,22.669246404117853,15.432492056351471,24.95870177684038
48100,21.769353070883803,14.566645880080475,23.49021810753309
49100,19.289090745658637,13.58209771194252,20.759736276164766
50100,18.350259088879636,12.486157767554394,19.096313072652
51100,17.205723989853507,10.98972133702399,18.867057761390736
52100,16.492777275778323,10.369884629992233,17.555435937489076
53100,15.44637986888459,9.580735989463001,17.298837177849823
54100,14.465646954555638,9.417589125069755,16.821231687921728
55100,13.635996484545652,8.124344495853169,16.153837010297202
56100,13.153115101032789,7.906607513129234,15.894212481516037
57100,12.841999725821992,7.426917254815068,15.223684243835669
58100,12.16585671781525,6.67488934726905,14.802348159782559
59100,11.685536866253164,6.582529568800523,14.2466904034768
60100,11.603625547037622,6.3297946767208995,13.750040451938652
61100,10.887306153911304,5.91940603092937,13.40897543525002
62100,10.60422003980097,5.402146043074507,12.95308437648162
63100,10.420655298160606,5.310509334444317,12.571135831211949
64100,9.868261346696583,4.915428458148307,12.241474854611626
65100,9.540404642651868,4.762749579106252,11.945377116792866
66100,9.3118618417428,4.545529292353492,11.730919446416188
67100,9.185808872582488,4.252884460603751,11.513513812259756
68100,8.897170145081812,4.0305761720658895,11.240217049024874
69100,8.693493931776437,3.7173588223046963,10.979870323647583
70100,8.569870067156804,3.5098717643158492,10.873805723043438
71100,8.270274051719712,3.2994284810763714,10.635670841501518
72100,8.128696777299947,3.1476285795370695,10.474721380553255
73100,7.797419057658475,2.9339380376337707,10.206925633525415
74100,7.541484653757961,2.685869804119545,9.810079008730158
75100,7.319057427208611,2.5777730400999515,9.613302964326405
76100,7.07944116584385,2.4816477167637516,9.415837913844612
77100,6.945815539241478,2.4384458679420677,9.145488738892265
78100,6.637066234198323,2.3679589475422795,8.945714784836975
79100,6.423726131041683,2.3308085255600117,8.812283253338462
80100,6.267730547962921,2.2895171356042283,8.418849322226997
81100,6.148273150081003,2.252000965265983,8.262462917766046
82100,6.052649501327618,2.221329942949124,8.187236062225146
83100,5.83118102336844,2.1792678696360976,8.008674592116838
84100,5.676771858599201,2.1524075182962097,7.944230842860928
85100,5.403106029685455,2.098866483002979,7.806883917741612
86100,5.35290684055369,2.0708840322408495,7.617763588145159
87100,5.239757592837492,2.022115097020458,7.517576118916466
88100,4.991813425703877,2.000437478098997,7.234325430931667
89100,4.743246854478193,1.9774131458755153,7.1034269275362085
90100,4.667623530574774,1.9557233955595965,6.9957230107247295
91100,4.5993357736383205,1.9261217755515672,6.882990563861253
92100,4.471364034165881,1.891186947236021,6.69439480191809
93100,4.367278626920429,1.8264167441224894,6.61537421294855
94100,4.211342392485651,1.7878870791304113,6.522023070602427
95100,4.1310977667704645,1.7674924690952762,6.423810404454181
96100,4.003821934304419,1.7318076681307604,6.294139639975524
97100,3.9601696459934153,1.7084480604029442,6.19377888542857
98100,3.8052841057101996,1.6910518962660233,6.075657944055744
99100,3.7068179424599808,1.656626231803937,5.9841514888810154
100100,3.6357706999674253,1.616266678939728,5.858314182817648
101100,3.591281296396167,1.6087371750469048,5.736857537467483
102100,3.5714032723965623,1.598629632101127,5.641505750630554
103100,3.52669537081499,1.5780218912397403,5.4885876804425004
104100,3.4489597945855057,1.5614674402617386,5.384583823459124
105100,3.362565923582876,1.541716479392208,5.283032447699625
106100,3.315695554385659,1.5239387107861044,5.178049111290021
107100,3.2692945272994702,1.506147394922224,5.125299136518924
108100,3.198121447535238,1.4973042746351894,5.021714055641691
109100,3.145685315719301,1.464332352787239,4.990403393384543
110100,3.075859585904826,1.464332352787239,4.94030648732721
111100,3.041823369905301,1.4527430662745537,4.852242136925617
112100,2.988340521777308,1.4267875810034394,4.773452697510388
113100,2.956713421839665,1.413753774708622,4.715408778129048
114100,2.9285764411313515,1.4029229558848388,4.574344190410338
115100,2.893476468368266,1.392378002746444,4.4604261738802204
116100,2.850557875553037,1.373608878264767,4.363782056828139
117100,2.790494739251598,1.368771445459567,4.224554988745504
118100,2.7385369342738253,1.356184884439914,4.126941938250846
119100,2.688950426543567,1.3386640055692638,3.973519446713288
120100,2.621214496790806,1.3207958047475885,3.9462093645027165
121100,2.5378244382330437,1.311380205754932,3.829744236401478
122100,2.4823414495966585,1.3055020829382709,3.769339972867735
123100,2.443427049909565,1.3012509808601869,3.7126625067835466
124100,2.404105826798232,1.2844715589121374,3.661107865510275
125100,2.3755721404009233,1.2739781458460169,3.620803173838289
126100,2.3687751648465283,1.2603533941245426,3.5900436252784633
127100,2.3225831518689017,1.2511108625591332,3.545952804108276
128100,2.2948166277238884,1.23868475739664,3.4760652270622954
129100,2.2763900057747137,1.2316827874316667,3.4468882049089977
130100,2.254268925032886,1.225500696785342,3.386755132465292
131100,2.229075938375421,1.218703682218992,3.3479964403378277
132100,2.203384306080495,1.2139713251780215,3.250792949837597
133100,2.185840117782966,1.2019683332361937,3.1824184255961865
